region,iso3,country,year,forest_area_kha,variable_type
Africa,UGA,Uganda,2020,2508.16,forest_area
Europe,UKR,Ukraine,2020,9900.0,forest_area
South America,URY,Uruguay,2020,1932.03,forest_area
North and Central America,USA,United States of America,2020,309255.0,forest_area
Asia,UZB,Uzbekistan,2020,3689.0,forest_area
Europe,VAT,Holy See,2020,0.0,forest_area
North and Central America,VCT,Saint Vincent and the Grenadines,2020,28.56,forest_area
South America,VEN,Venezuela (Bolivarian Republic of),2020,47334.7,forest_area
North and Central America,VGB,British Virgin Islands,2020,9.97,forest_area
North and Central America,VIR,United States Virgin Islands,2020,19.91,forest_area
Asia,VNM,Viet Nam,2020,14677.22,forest_area
Oceania,VUT,Vanuatu,2020,919.36,forest_area
Oceania,WLF,Wallis and Futuna Islands,2020,10.37,forest_area
Oceania,WSM,Samoa,2020,162.16,forest_area
Asia,YEM,Yemen,2020,549.0,forest_area
Africa,ZAF,South Africa,2020,22443.59,forest_area
Africa,ZMB,Zambia,2020,45360.07,forest_area
Africa,ZWE,Zimbabwe,2020,14031.01,forest_area
North and Central America,ABW,Aruba,2025,0.49,forest_area
Asia,AFG,Afghanistan,2025,1209.44,forest_area
Africa,AGO,Angola,2025,63262.33,forest_area
North and Central America,AIA,Anguilla,2025,5.5,forest_area
Europe,ALB,Albania,2025,941.0,forest_area
Europe,AND,Andorra,2025,18.22,forest_area
Asia,ARE,United Arab Emirates,2025,324.58,forest_area
South America,ARG,Argentina,2025,46598.0,forest_area
Asia,ARM,Armenia,2025,334.1,forest_area
Oceania,ASM,American Samoa,2025,15.85,forest_area
North and Central America,ATG,Antigua and Barbuda,2025,7.79,forest_area
Oceania,AUS,Australia,2025,133561.59,forest_area
Europe,AUT,Austria,2025,3903.91,forest_area
Asia,AZE,Azerbaijan,2025,1213.66,forest_area
Africa,BDI,Burundi,2025,279.64,forest_area
Europe,BEL,Belgium,2025,670.52,forest_area
Africa,BEN,Benin,2025,3133.27,forest_area
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",2025,4.21,forest_area
Africa,BFA,Burkina Faso,2025,3236.97,forest_area
Asia,BGD,Bangladesh,2025,1873.42,forest_area
Europe,BGR,Bulgaria,2025,3959.0,forest_area
Asia,BHR,Bahrain,2025,4.37,forest_area
North and Central America,BHS,Bahamas,2025,509.86,forest_area
Europe,BIH,Bosnia and Herzegovina,2025,2162.08,forest_area
North and Central America,BLM,Saint Barthélemy,2025,0.17,forest_area
Europe,BLR,Belarus,2025,8975.4,forest_area
North and Central America,BLZ,Belize,2025,1315.05,forest_area
North and Central America,BMU,Bermuda,2025,0.78,forest_area
South America,BOL,Bolivia (Plurinational State of),2025,54370.27,forest_area
South America,BRA,Brazil,2025,486086.64,forest_area
North and Central America,BRB,Barbados,2025,6.3,forest_area
Asia,BRN,Brunei Darussalam,2025,380.0,forest_area
Asia,BTN,Bhutan,2025,2674.74,forest_area
Africa,BWA,Botswana,2025,15730.2,forest_area
Africa,CAF,Central African Republic,2025,45094.87,forest_area
North and Central America,CAN,Canada,2025,368818.85,forest_area
Europe,CHE,Switzerland,2025,1267.02,forest_area
South America,CHL,Chile,2025,18161.9,forest_area
Asia,CHN,China,2025,227153.0,forest_area
Africa,CIV,Côte d'Ivoire,2025,3774.13,forest_area
Africa,CMR,Cameroon,2025,19143.22,forest_area
Africa,COD,Democratic Republic of the Congo,2025,139189.05,forest_area
Africa,COG,Congo,2025,21853.8,forest_area
Oceania,COK,Cook Islands,2025,15.59,forest_area
South America,COL,Colombia,2025,59456.86,forest_area
Africa,COM,Comoros,2025,33.37,forest_area
Africa,CPV,Cabo Verde,2025,51.06,forest_area
North and Central America,CRI,Costa Rica,2025,2989.64,forest_area
North and Central America,CUB,Cuba,2025,3622.38,forest_area
North and Central America,CUW,Curaçao,2025,0.07,forest_area
North and Central America,CYM,Cayman Islands,2025,12.72,forest_area
Asia,CYP,Cyprus,2025,171.7,forest_area
Europe,CZE,Czechia,2025,2968.36,forest_area
Europe,DEU,Germany,2025,11481.4,forest_area
Africa,DJI,Djibouti,2025,5.93,forest_area
North and Central America,DMA,Dominica,2025,57.35,forest_area
Europe,DNK,Denmark,2025,642.56,forest_area
North and Central America,DOM,Dominican Republic,2025,2257.46,forest_area
Africa,DZA,Algeria,2025,1691.36,forest_area
South America,ECU,Ecuador,2025,12310.32,forest_area
Africa,EGY,Egypt,2025,4.11,forest_area
Africa,ERI,Eritrea,2025,1442.02,forest_area
Africa,ESH,Western Sahara,2025,529.22,forest_area
Europe,ESP,Spain,2025,19132.78,forest_area
Europe,EST,Estonia,2025,2446.75,forest_area
Africa,ETH,Ethiopia,2025,26747.1,forest_area
Europe,FIN,Finland,2025,22543.0,forest_area
Oceania,FJI,Fiji,2025,1136.6,forest_area
South America,FLK,Falkland Islands (Malvinas),2025,0.0,forest_area
Europe,FRA,France,2025,17795.0,forest_area
Europe,FRO,Faroe Islands,2025,0.08,forest_area
Oceania,FSM,Micronesia (Federated States of),2025,64.57,forest_area
Africa,GAB,Gabon,2025,23555.31,forest_area
Europe,GBR,United Kingdom of Great Britain and Northern Ireland,2025,3278.0,forest_area
Asia,GEO,Georgia,2025,3100.5,forest_area
Europe,GGY,Guernsey,2025,0.47,forest_area
Africa,GHA,Ghana,2025,7056.36,forest_area
Europe,GIB,Gibraltar,2025,0.0,forest_area
Africa,GIN,Guinea,2025,4857.31,forest_area
North and Central America,GLP,Guadeloupe,2025,75.6,forest_area
Africa,GMB,Gambia,2025,209.47,forest_area
Africa,GNB,Guinea-Bissau,2025,2099.59,forest_area
Africa,GNQ,Equatorial Guinea,2025,2406.62,forest_area
Europe,GRC,Greece,2025,4762.8,forest_area
North and Central America,GRD,Grenada,2025,17.7,forest_area
North and Central America,GRL,Greenland,2025,0.22,forest_area
North and Central America,GTM,Guatemala,2025,3535.65,forest_area
South America,GUF,French Guiana,2025,7981.95,forest_area
Oceania,GUM,Guam,2025,28.27,forest_area
South America,GUY,Guyana,2025,18377.19,forest_area
North and Central America,HND,Honduras,2025,5861.33,forest_area
Europe,HRV,Croatia,2025,1946.2,forest_area
North and Central America,HTI,Haiti,2025,372.1,forest_area
Europe,HUN,Hungary,2025,2087.37,forest_area
Asia,IDN,Indonesia,2025,95969.3,forest_area
Europe,IMN,Isle of Man,2025,3.67,forest_area
Asia,IND,India,2025,72739.0,forest_area
Europe,IRL,Ireland,2025,832.85,forest_area
Asia,IRN,Iran (Islamic Republic of),2025,10751.0,forest_area
Asia,IRQ,Iraq,2025,692.55,forest_area
Europe,ISL,Iceland,2025,61.48,forest_area
Asia,ISR,Israel,2025,150.0,forest_area
Europe,ITA,Italy,2025,9421.96,forest_area
North and Central America,JAM,Jamaica,2025,616.31,forest_area
Europe,JEY,Jersey,2025,0.68,forest_area
Asia,JOR,Jordan,2025,70.7,forest_area
Asia,JPN,Japan,2025,24908.0,forest_area
Asia,KAZ,Kazakhstan,2025,3520.51,forest_area
Africa,KEN,Kenya,2025,3913.81,forest_area
Asia,KGZ,Kyrgyzstan,2025,1255.48,forest_area
Asia,KHM,Cambodia,2025,6333.17,forest_area
Oceania,KIR,Kiribati,2025,1.07,forest_area
North and Central America,KNA,Saint Kitts and Nevis,2025,11.0,forest_area
Asia,KOR,Republic of Korea,2025,6279.13,forest_area
Asia,KWT,Kuwait,2025,6.3,forest_area
Asia,LAO,Lao People's Democratic Republic,2025,13036.04,forest_area
Asia,LBN,Lebanon,2025,141.32,forest_area
Africa,LBR,Liberia,2025,6326.52,forest_area
Africa,LBY,Libya,2025,205.33,forest_area
North and Central America,LCA,Saint Lucia,2025,32.84,forest_area
Europe,LIE,Liechtenstein,2025,5.98,forest_area
Asia,LKA,Sri Lanka,2025,2120.69,forest_area
Africa,LSO,Lesotho,2025,34.52,forest_area
Europe,LTU,Lithuania,2025,2216.34,forest_area
Europe,LUX,Luxembourg,2025,88.7,forest_area
Europe,LVA,Latvia,2025,3466.96,forest_area
North and Central America,MAF,Saint Martin (French Part),2025,1.24,forest_area
Africa,MAR,Morocco,2025,5695.34,forest_area
Europe,MCO,Monaco,2025,0.0,forest_area
Europe,MDA,Republic of Moldova,2025,370.3,forest_area
Africa,MDG,Madagascar,2025,9922.08,forest_area
Asia,MDV,Maldives,2025,3.72,forest_area
North and Central America,MEX,Mexico,2025,66265.59,forest_area
Oceania,MHL,Marshall Islands,2025,9.71,forest_area
Europe,MKD,North Macedonia,2025,1026.1,forest_area
Africa,MLI,Mali,2025,10479.25,forest_area
Europe,MLT,Malta,2025,0.47,forest_area
Asia,MMR,Myanmar,2025,27095.32,forest_area
Europe,MNE,Montenegro,2025,827.0,forest_area
Asia,MNG,Mongolia,2025,14178.33,forest_area
Oceania,MNP,Northern Mariana Islands,2025,24.36,forest_area
Africa,MOZ,Mozambique,2025,32242.9,forest_area
Africa,MRT,Mauritania,2025,1019.13,forest_area
North and Central America,MSR,Montserrat,2025,2.42,forest_area
North and Central America,MTQ,Martinique,2025,52.67,forest_area
Africa,MUS,Mauritius,2025,38.29,forest_area
Africa,MWI,Malawi,2025,2031.7,forest_area
Asia,MYS,Malaysia,2025,18884.74,forest_area
Africa,MYT,Mayotte,2025,9.6,forest_area
Africa,NAM,Namibia,2025,8042.96,forest_area
Oceania,NCL,New Caledonia,2025,892.61,forest_area
Africa,NER,Niger,2025,1055.1,forest_area
Oceania,NFK,Norfolk Island,2025,0.49,forest_area
Africa,NGA,Nigeria,2025,17129.96,forest_area
North and Central America,NIC,Nicaragua,2025,4780.7,forest_area
Oceania,NIU,Niue,2025,18.87,forest_area
Europe,NLD,Netherlands (Kingdom of the),2025,369.33,forest_area
Europe,NOR,Norway,2025,12108.64,forest_area
Asia,NPL,Nepal,2025,6266.25,forest_area
Oceania,NRU,Nauru,2025,0.0,forest_area
Oceania,NZL,New Zealand,2025,10303.03,forest_area
Asia,OMN,Oman,2025,1.6,forest_area
Asia,PAK,Pakistan,2025,3192.46,forest_area
North and Central America,PAN,Panama,2025,4614.61,forest_area
Oceania,PCN,Pitcairn,2025,3.69,forest_area
South America,PER,Peru,2025,67159.76,forest_area
Asia,PHL,Philippines,2025,7438.64,forest_area
Oceania,PLW,Palau,2025,41.87,forest_area
Oceania,PNG,Papua New Guinea,2025,34028.96,forest_area
Europe,POL,Poland,2025,9495.0,forest_area
North and Central America,PRI,Puerto Rico,2025,436.06,forest_area
Asia,PRK,Democratic People's Republic of Korea,2025,7727.93,forest_area
Europe,PRT,Portugal,2025,3362.63,forest_area
South America,PRY,Paraguay,2025,14297.39,forest_area
Asia,PSE,Palestine,2025,11.1,forest_area
Oceania,PYF,French Polynesia,2025,149.46,forest_area
Asia,QAT,Qatar,2025,1.4,forest_area
Africa,REU,Réunion,2025,77.15,forest_area
Europe,ROU,Romania,2025,6957.13,forest_area
Europe,RUS,Russian Federation,2025,832629.93,forest_area
Africa,RWA,Rwanda,2025,634.63,forest_area
Asia,SAU,Saudi Arabia,2025,2775.55,forest_area
Africa,SDN,Sudan,2025,21980.4,forest_area
Africa,SEN,Senegal,2025,8649.32,forest_area
Asia,SGP,Singapore,2025,15.8,forest_area
Africa,SHN,"Ascension, Saint Helena and Tristan da Cunha",2025,2.02,forest_area
Europe,SJM,Svalbard and Jan Mayen Islands,2025,0.0,forest_area
Oceania,SLB,Solomon Islands,2025,2513.93,forest_area
Africa,SLE,Sierra Leone,2025,2436.27,forest_area
North and Central America,SLV,El Salvador,2025,684.84,forest_area
Europe,SMR,San Marino,2025,1.0,forest_area
Africa,SOM,Somalia,2025,4829.75,forest_area
North and Central America,SPM,Saint Pierre and Miquelon,2025,1.1,forest_area
Europe,SRB,Serbia,2025,3475.2,forest_area
Africa,SSD,South Sudan,2025,7160.0,forest_area
Africa,STP,Sao Tome and Principe,2025,55.28,forest_area
South America,SUR,Suriname,2025,14674.2,forest_area
Europe,SVK,Slovakia,2025,1940.49,forest_area
Europe,SVN,Slovenia,2025,1243.55,forest_area
Europe,SWE,Sweden,2025,27934.0,forest_area
Africa,SWZ,Eswatini,2025,433.07,forest_area
North and Central America,SXM,Sint Maarten (Dutch part),2025,0.3,forest_area
Africa,SYC,Seychelles,2025,26.52,forest_area
Asia,SYR,Syrian Arab Republic,2025,527.81,forest_area
North and Central America,TCA,Turks and Caicos Islands,2025,10.52,forest_area
Africa,TCD,Chad,2025,3611.32,forest_area
Africa,TGO,Togo,2025,1224.46,forest_area
Asia,THA,Thailand,2025,19647.48,forest_area
Asia,TJK,Tajikistan,2025,424.5,forest_area
Oceania,TKL,Tokelau,2025,0.0,forest_area
Asia,TKM,Turkmenistan,2025,2330.0,forest_area
Asia,TLS,Timor-Leste,2025,1054.33,forest_area
Oceania,TON,Tonga,2025,8.73,forest_area
North and Central America,TTO,Trinidad and Tobago,2025,226.05,forest_area
Africa,TUN,Tunisia,2025,687.49,forest_area
Asia,TUR,Türkiye,2025,22805.76,forest_area
Oceania,TUV,Tuvalu,2025,1.03,forest_area
Africa,TZA,United Republic of Tanzania,2025,43400.0,forest_area
Africa,UGA,Uganda,2025,2367.67,forest_area
Europe,UKR,Ukraine,2025,10090.0,forest_area
South America,URY,Uruguay,2025,2024.0,forest_area
North and Central America,USA,United States of America,2025,308895.0,forest_area
Asia,UZB,Uzbekistan,2025,3894.19,forest_area
Europe,VAT,Holy See,2025,0.0,forest_area
North and Central America,VCT,Saint Vincent and the Grenadines,2025,28.56,forest_area
South America,VEN,Venezuela (Bolivarian Republic of),2025,47088.24,forest_area
North and Central America,VGB,British Virgin Islands,2025,9.97,forest_area
North and Central America,VIR,United States Virgin Islands,2025,20.66,forest_area
Asia,VNM,Viet Nam,2025,14790.08,forest_area
Oceania,VUT,Vanuatu,2025,907.44,forest_area
Oceania,WLF,Wallis and Futuna Islands,2025,10.82,forest_area
Oceania,WSM,Samoa,2025,159.76,forest_area
Asia,YEM,Yemen,2025,549.0,forest_area
Africa,ZAF,South Africa,2025,22881.42,forest_area
Africa,ZMB,Zambia,2025,44874.29,forest_area
Africa,ZWE,Zimbabwe,2025,13766.01,forest_area
North and Central America,ABW,Aruba,1990,0.49,nat_regen_forest
Asia,AFG,Afghanistan,1990,1209.44,nat_regen_forest
Africa,AGO,Angola,1990,77417.91,nat_regen_forest
North and Central America,AIA,Anguilla,1990,,nat_regen_forest
Europe,ALB,Albania,1990,,nat_regen_forest
Europe,AND,Andorra,1990,17.69,nat_regen_forest
Asia,ARE,United Arab Emirates,1990,310.97,nat_regen_forest
South America,ARG,Argentina,1990,55220.62,nat_regen_forest
Asia,ARM,Armenia,1990,133.89,nat_regen_forest
Oceania,ASM,American Samoa,1990,18.07,nat_regen_forest
North and Central America,ATG,Antigua and Barbuda,1990,10.11,nat_regen_forest
Oceania,AUS,Australia,1990,133551.75,nat_regen_forest
Europe,AUT,Austria,1990,2298.11,nat_regen_forest
Asia,AZE,Azerbaijan,1990,651.87,nat_regen_forest
Africa,BDI,Burundi,1990,115.1,nat_regen_forest
Europe,BEL,Belgium,1990,231.1,nat_regen_forest
Africa,BEN,Benin,1990,6893.49,nat_regen_forest
North and Central America,BES,"Bonaire, Sint Eustatius and Saba",1990,4.21,nat_regen_forest
Africa,BFA,Burkina Faso,1990,8288.39,nat_regen_forest
Asia,BGD,Bangladesh,1990,1895.54,nat_regen_forest
Europe,BGR,Bulgaria,1990,2295.0,nat_regen_forest
Asia,BHR,Bahrain,1990,0.06,nat_regen_forest
North and Central America,BHS,Bahamas,1990,509.86,nat_regen_forest
Europe,BIH,Bosnia and Herzegovina,1990,,nat_regen_forest
North and Central America,BLM,Saint Barthélemy,1990,0.17,nat_regen_forest
Europe,BLR,Belarus,1990,6576.43,nat_regen_forest
North and Central America,BLZ,Belize,1990,1578.53,nat_regen_forest
North and Central America,BMU,Bermuda,1990,,nat_regen_forest
South America,BOL,Bolivia (Plurinational State of),1990,61754.24,nat_regen_forest
South America,BRA,Brazil,1990,614885.16,nat_regen_forest
North and Central America,BRB,Barbados,1990,6.3,nat_regen_forest
Asia,BRN,Brunei Darussalam,1990,412.0,nat_regen_forest
Asia,BTN,Bhutan,1990,2487.29,nat_regen_forest
Africa,BWA,Botswana,1990,15727.9,nat_regen_forest
Africa,CAF,Central African Republic,1990,46432.91,nat_regen_forest
North and Central America,CAN,Canada,1990,356155.89,nat_regen_forest
Europe,CHE,Switzerland,1990,971.71,nat_regen_forest
South America,CHL,Chile,1990,15283.43,nat_regen_forest
Asia,CHN,China,1990,112988.6,nat_regen_forest
Africa,CIV,Côte d'Ivoire,1990,8211.93,nat_regen_forest
Africa,CMR,Cameroon,1990,22481.9,nat_regen_forest
Africa,COD,Democratic Republic of the Congo,1990,160433.16,nat_regen_forest
Africa,COG,Congo,1990,22195.9,nat_regen_forest
Oceania,COK,Cook Islands,1990,14.4,nat_regen_forest
South America,COL,Colombia,1990,65005.8,nat_regen_forest
Africa,COM,Comoros,1990,44.75,nat_regen_forest
Africa,CPV,Cabo Verde,1990,13.68,nat_regen_forest
North and Central America,CRI,Costa Rica,1990,2742.49,nat_regen_forest
North and Central America,CUB,Cuba,1990,1922.17,nat_regen_forest
North and Central America,CUW,Curaçao,1990,0.07,nat_regen_forest
North and Central America,CYM,Cayman Islands,1990,13.13,nat_regen_forest
Asia,CYP,Cyprus,1990,136.77,nat_regen_forest
Europe,CZE,Czechia,1990,375.1,nat_regen_forest
Europe,DEU,Germany,1990,5650.0,nat_regen_forest
Africa,DJI,Djibouti,1990,5.6,nat_regen_forest
North and Central America,DMA,Dominica,1990,58.83,nat_regen_forest
Europe,DNK,Denmark,1990,,nat_regen_forest
North and Central America,DOM,Dominican Republic,1990,2111.14,nat_regen_forest
Africa,DZA,Algeria,1990,1464.21,nat_regen_forest
South America,ECU,Ecuador,1990,14587.77,nat_regen_forest
Africa,EGY,Egypt,1990,0.53,nat_regen_forest
Africa,ERI,Eritrea,1990,1641.3,nat_regen_forest
Africa,ESH,Western Sahara,1990,605.45,nat_regen_forest
Europe,ESP,Spain,1990,11959.48,nat_regen_forest
Europe,EST,Estonia,1990,2010.73,nat_regen_forest
Africa,ETH,Ethiopia,1990,28297.5,nat_regen_forest
Europe,FIN,Finland,1990,17484.95,nat_regen_forest
Oceania,FJI,Fiji,1990,854.92,nat_regen_forest
South America,FLK,Falkland Islands (Malvinas),1990,0.0,nat_regen_forest
Europe,FRA,France,1990,12908.0,nat_regen_forest
Europe,FRO,Faroe Islands,1990,0.0,nat_regen_forest
Oceania,FSM,Micronesia (Federated States of),1990,43.33,nat_regen_forest
Africa,GAB,Gabon,1990,23736.19,nat_regen_forest
Europe,GBR,United Kingdom of Great Britain and Northern Ireland,1990,344.0,nat_regen_forest
Asia,GEO,Georgia,1990,2983.89,nat_regen_forest
Europe,GGY,Guernsey,1990,0.13,nat_regen_forest
Africa,GHA,Ghana,1990,5756.16,nat_regen_forest
Europe,GIB,Gibraltar,1990,0.0,nat_regen_forest
Africa,GIN,Guinea,1990,7157.95,nat_regen_forest
North and Central America,GLP,Guadeloupe,1990,72.67,nat_regen_forest
Africa,GMB,Gambia,1990,412.96,nat_regen_forest
Africa,GNB,Guinea-Bissau,1990,2257.17,nat_regen_forest
Africa,GNQ,Equatorial Guinea,1990,2699.15,nat_regen_forest
Europe,GRC,Greece,1990,3576.42,nat_regen_forest
North and Central America,GRD,Grenada,1990,17.49,nat_regen_forest
North and Central America,GRL,Greenland,1990,0.0,nat_regen_forest
North and Central America,GTM,Guatemala,1990,4828.41,nat_regen_forest
South America,GUF,French Guiana,1990,8124.3,nat_regen_forest
Oceania,GUM,Guam,1990,24.0,nat_regen_forest
South America,GUY,Guyana,1990,18602.15,nat_regen_forest
North and Central America,HND,Honduras,1990,7644.21,nat_regen_forest
Europe,HRV,Croatia,1990,1757.69,nat_regen_forest
North and Central America,HTI,Haiti,1990,369.2,nat_regen_forest
Europe,HUN,Hungary,1990,,nat_regen_forest
Asia,IDN,Indonesia,1990,113166.4,nat_regen_forest
Europe,IMN,Isle of Man,1990,0.17,nat_regen_forest
Asia,IND,India,1990,53274.57,nat_regen_forest
Europe,IRL,Ireland,1990,81.39,nat_regen_forest
Asia,IRN,Iran (Islamic Republic of),1990,9192.11,nat_regen_forest
Asia,IRQ,Iraq,1990,789.0,nat_regen_forest
Europe,ISL,Iceland,1990,10.51,nat_regen_forest
Asia,ISR,Israel,1990,66.0,nat_regen_forest
Europe,ITA,Italy,1990,7061.01,nat_regen_forest
North and Central America,JAM,Jamaica,1990,512.49,nat_regen_forest
Europe,JEY,Jersey,1990,,nat_regen_forest
Asia,JOR,Jordan,1990,40.86,nat_regen_forest
Asia,JPN,Japan,1990,14663.0,nat_regen_forest
Asia,KAZ,Kazakhstan,1990,2645.22,nat_regen_forest
Africa,KEN,Kenya,1990,3587.9,nat_regen_forest
Asia,KGZ,Kyrgyzstan,1990,977.32,nat_regen_forest
Asia,KHM,Cambodia,1990,10937.5,nat_regen_forest
Oceania,KIR,Kiribati,1990,,nat_regen_forest
North and Central America,KNA,Saint Kitts and Nevis,1990,11.0,nat_regen_forest
Asia,KOR,Republic of Korea,1990,4642.0,nat_regen_forest
Asia,KWT,Kuwait,1990,0.0,nat_regen_forest
Asia,LAO,Lao People's Democratic Republic,1990,14393.37,nat_regen_forest
Asia,LBN,Lebanon,1990,137.58,nat_regen_forest
Africa,LBR,Liberia,1990,7808.76,nat_regen_forest
Africa,LBY,Libya,1990,141.05,nat_regen_forest
North and Central America,LCA,Saint Lucia,1990,27.06,nat_regen_forest
Europe,LIE,Liechtenstein,1990,5.2,nat_regen_forest
Asia,LKA,Sri Lanka,1990,2098.6,nat_regen_forest
Africa,LSO,Lesotho,1990,25.85,nat_regen_forest
Europe,LTU,Lithuania,1990,1534.02,nat_regen_forest
Europe,LUX,Luxembourg,1990,57.7,nat_regen_forest
Europe,LVA,Latvia,1990,2858.6,nat_regen_forest
North and Central America,MAF,Saint Martin (French Part),1990,1.24,nat_regen_forest
Africa,MAR,Morocco,1990,5222.75,nat_regen_forest
Europe,MCO,Monaco,1990,0.0,nat_regen_forest
Europe,MDA,Republic of Moldova,1990,179.0,nat_regen_forest
Africa,MDG,Madagascar,1990,13351.19,nat_regen_forest
Asia,MDV,Maldives,1990,3.72,nat_regen_forest
North and Central America,MEX,Mexico,1990,71747.48,nat_regen_forest
Oceania,MHL,Marshall Islands,1990,6.27,nat_regen_forest
Europe,MKD,North Macedonia,1990,,nat_regen_forest
Africa,MLI,Mali,1990,13993.98,nat_regen_forest
Europe,MLT,Malta,1990,0.35,nat_regen_forest
Asia,MMR,Myanmar,1990,38824.48,nat_regen_forest
Europe,MNE,Montenegro,1990,618.0,nat_regen_forest
Asia,MNG,Mongolia,1990,14350.56,nat_regen_forest
Oceania,MNP,Northern Mariana Islands,1990,20.32,nat_regen_forest
Africa,MOZ,Mozambique,1990,41550.91,nat_regen_forest
Africa,MRT,Mauritania,1990,829.53,nat_regen_forest
North and Central America,MSR,Montserrat,1990,3.5,nat_regen_forest
North and Central America,MTQ,Martinique,1990,45.4,nat_regen_forest
Africa,MUS,Mauritius,1990,23.82,nat_regen_forest
Africa,MWI,Malawi,1990,3362.6,nat_regen_forest
Asia,MYS,Malaysia,1990,18683.82,nat_regen_forest
Africa,MYT,Mayotte,1990,19.07,nat_regen_forest
Africa,NAM,Namibia,1990,8769.17,nat_regen_forest
Oceania,NCL,New Caledonia,1990,822.09,nat_regen_forest
Africa,NER,Niger,1990,1897.0,nat_regen_forest
Oceania,NFK,Norfolk Island,1990,0.44,nat_regen_forest
Africa,NGA,Nigeria,1990,19958.76,nat_regen_forest
North and Central America,NIC,Nicaragua,1990,7098.9,nat_regen_forest
Oceania,NIU,Niue,1990,18.93,nat_regen_forest
Europe,NLD,Netherlands (Kingdom of the),1990,49.95,nat_regen_forest
Europe,NOR,Norway,1990,,nat_regen_forest
Asia,NPL,Nepal,1990,5377.8,nat_regen_forest
Oceania,NRU,Nauru,1990,0.0,nat_regen_forest
Oceania,NZL,New Zealand,1990,7841.15,nat_regen_forest
Asia,OMN,Oman,1990,1.57,nat_regen_forest
Asia,PAK,Pakistan,1990,3357.51,nat_regen_forest
North and Central America,PAN,Panama,1990,4944.99,nat_regen_forest
Oceania,PCN,Pitcairn,1990,,nat_regen_forest
South America,PER,Peru,1990,76971.87,nat_regen_forest
Asia,PHL,Philippines,1990,7488.19,nat_regen_forest
Oceania,PLW,Palau,1990,19.08,nat_regen_forest
Oceania,PNG,Papua New Guinea,1990,34565.37,nat_regen_forest
Europe,POL,Poland,1990,,nat_regen_forest
North and Central America,PRI,Puerto Rico,1990,303.83,nat_regen_forest
Asia,PRK,Democratic People's Republic of Korea,1990,6325.43,nat_regen_forest
Europe,PRT,Portugal,1990,1223.83,nat_regen_forest
South America,PRY,Paraguay,1990,25679.68,nat_regen_forest
Asia,PSE,Palestine,1990,7.98,nat_regen_forest
Oceania,PYF,French Polynesia,1990,140.0,nat_regen_forest
Asia,QAT,Qatar,1990,1.33,nat_regen_forest
Africa,REU,Réunion,1990,62.57,nat_regen_forest
Europe,ROU,Romania,1990,5843.0,nat_regen_forest
Europe,RUS,Russian Federation,1990,794622.63,nat_regen_forest
Africa,RWA,Rwanda,1990,204.39,nat_regen_forest
Asia,SAU,Saudi Arabia,1990,2699.96,nat_regen_forest
Africa,SDN,Sudan,1990,27945.05,nat_regen_forest
Africa,SEN,Senegal,1990,9183.3,nat_regen_forest
Asia,SGP,Singapore,1990,14.83,nat_regen_forest
Africa,SHN,"Ascension, Saint Helena and Tristan da Cunha",1990,2.02,nat_regen_forest
Europe,SJM,Svalbard and Jan Mayen Islands,1990,0.0,nat_regen_forest
Oceania,SLB,Solomon Islands,1990,2514.74,nat_regen_forest
Africa,SLE,Sierra Leone,1990,3120.03,nat_regen_forest
North and Central America,SLV,El Salvador,1990,729.75,nat_regen_forest
Europe,SMR,San Marino,1990,1.0,nat_regen_forest
Africa,SOM,Somalia,1990,8279.5,nat_regen_forest
North and Central America,SPM,Saint Pierre and Miquelon,1990,1.9,nat_regen_forest
Europe,SRB,Serbia,1990,2274.0,nat_regen_forest
Africa,SSD,South Sudan,1990,6388.5,nat_regen_forest
Africa,STP,Sao Tome and Principe,1990,59.07,nat_regen_forest
South America,SUR,Suriname,1990,14852.1,nat_regen_forest
Europe,SVK,Slovakia,1990,1163.69,nat_regen_forest
Europe,SVN,Slovenia,1990,1123.29,nat_regen_forest
Europe,SWE,Sweden,1990,21245.0,nat_regen_forest
Africa,SWZ,Eswatini,1990,340.36,nat_regen_forest
North and Central America,SXM,Sint Maarten (Dutch part),1990,0.3,nat_regen_forest
Africa,SYC,Seychelles,1990,29.23,nat_regen_forest
Asia,SYR,Syrian Arab Republic,1990,232.84,nat_regen_forest
North and Central America,TCA,Turks and Caicos Islands,1990,10.52,nat_regen_forest
Africa,TCD,Chad,1990,6719.0,nat_regen_forest
Africa,TGO,Togo,1990,1277.39,nat_regen_forest
Asia,THA,Thailand,1990,16533.0,nat_regen_forest
Asia,TJK,Tajikistan,1990,295.39,nat_regen_forest
Oceania,TKL,Tokelau,1990,0.0,nat_regen_forest
Asia,TKM,Turkmenistan,1990,2180.0,nat_regen_forest
Asia,TLS,Timor-Leste,1990,1088.84,nat_regen_forest
Oceania,TON,Tonga,1990,8.23,nat_regen_forest
North and Central America,TTO,Trinidad and Tobago,1990,196.88,nat_regen_forest
Africa,TUN,Tunisia,1990,570.02,nat_regen_forest
Asia,TUR,Türkiye,1990,19237.5,nat_regen_forest
Oceania,TUV,Tuvalu,1990,1.03,nat_regen_forest
Africa,TZA,United Republic of Tanzania,1990,57611.97,nat_regen_forest
Africa,UGA,Uganda,1990,4378.06,nat_regen_forest
Europe,UKR,Ukraine,1990,4707.0,nat_regen_forest
South America,URY,Uruguay,1990,700.51,nat_regen_forest
