region,iso3,country,year,forest_area_kha,variable_type
Asia,LAO,Lao People's Democratic Republic,1990,14399.28,forest_area
Asia,LBN,Lebanon,1990,137.92,forest_area
Africa,LBR,Liberia,1990,8008.76,forest_area
Africa,LBY,Libya,1990,217.0,forest_area
North and Central America,LCA,Saint Lucia,1990,27.06,forest_area
Europe,LIE,Liechtenstein,1990,5.2,forest_area
Asia,LKA,Sri Lanka,1990,2369.94,forest_area
Africa,LSO,Lesotho,1990,34.52,forest_area
Europe,LTU,Lithuania,1990,1945.0,forest_area
Europe,LUX,Luxembourg,1990,85.8,forest_area
Europe,LVA,Latvia,1990,3173.0,forest_area
North and Central America,MAF,Saint Martin (French Part),1990,1.24,forest_area
Africa,MAR,Morocco,1990,5700.99,forest_area
Europe,MCO,Monaco,1990,0.0,forest_area
Europe,MDA,Republic of Moldova,1990,325.4,forest_area
Africa,MDG,Madagascar,1990,13677.14,forest_area
Asia,MDV,Maldives,1990,3.72,forest_area
North and Central America,MEX,Mexico,1990,71803.93,forest_area
Oceania,MHL,Marshall Islands,1990,9.4,forest_area
Europe,MKD,North Macedonia,1990,912.0,forest_area
Africa,MLI,Mali,1990,13998.36,forest_area
Europe,MLT,Malta,1990,0.35,forest_area
Asia,MMR,Myanmar,1990,39218.48,forest_area
Europe,MNE,Montenegro,1990,626.0,forest_area
Asia,MNG,Mongolia,1990,14352.0,forest_area
Oceania,MNP,Northern Mariana Islands,1990,20.32,forest_area
Africa,MOZ,Mozambique,1990,41588.91,forest_area
Africa,MRT,Mauritania,1990,927.15,forest_area
North and Central America,MSR,Montserrat,1990,3.5,forest_area
North and Central America,MTQ,Martinique,1990,47.84,forest_area
Africa,MUS,Mauritius,1990,41.07,forest_area
Africa,MWI,Malawi,1990,3501.76,forest_area
Asia,MYS,Malaysia,1990,20618.5,forest_area
Africa,MYT,Mayotte,1990,19.25,forest_area
Africa,NAM,Namibia,1990,8769.17,forest_area
Oceania,NCL,New Caledonia,1990,831.13,forest_area
Africa,NER,Niger,1990,1945.0,forest_area
Oceania,NFK,Norfolk Island,1990,0.49,forest_area
Africa,NGA,Nigeria,1990,21570.86,forest_area
North and Central America,NIC,Nicaragua,1990,7098.9,forest_area
Oceania,NIU,Niue,1990,18.93,forest_area
Europe,NLD,Netherlands (Kingdom of the),1990,345.33,forest_area
Europe,NOR,Norway,1990,12216.87,forest_area
Asia,NPL,Nepal,1990,5748.11,forest_area
Oceania,NRU,Nauru,1990,0.0,forest_area
Oceania,NZL,New Zealand,1990,9372.27,forest_area
Asia,OMN,Oman,1990,1.6,forest_area
Asia,PAK,Pakistan,1990,3461.01,forest_area
North and Central America,PAN,Panama,1990,4956.04,forest_area
Oceania,PCN,Pitcairn,1990,3.69,forest_area
South America,PER,Peru,1990,77037.89,forest_area
Asia,PHL,Philippines,1990,7778.81,forest_area
Oceania,PLW,Palau,1990,38.15,forest_area
Oceania,PNG,Papua New Guinea,1990,34614.36,forest_area
Europe,POL,Poland,1990,8882.0,forest_area
North and Central America,PRI,Puerto Rico,1990,303.83,forest_area
Asia,PRK,Democratic People's Republic of Korea,1990,7455.43,forest_area
Europe,PRT,Portugal,1990,3438.42,forest_area
South America,PRY,Paraguay,1990,25679.68,forest_area
Asia,PSE,Palestine,1990,9.08,forest_area
Oceania,PYF,French Polynesia,1990,144.43,forest_area
Asia,QAT,Qatar,1990,1.4,forest_area
Africa,REU,Réunion,1990,67.95,forest_area
Europe,ROU,Romania,1990,6371.0,forest_area
Europe,RUS,Russian Federation,1990,811641.29,forest_area
Africa,RWA,Rwanda,1990,436.85,forest_area
Asia,SAU,Saudi Arabia,1990,2768.05,forest_area
Africa,SDN,Sudan,1990,28075.3,forest_area
Africa,SEN,Senegal,1990,9193.36,forest_area
Asia,SGP,Singapore,1990,14.83,forest_area
Africa,SHN,"Ascension, Saint Helena and Tristan da Cunha",1990,2.02,forest_area
Europe,SJM,Svalbard and Jan Mayen Islands,1990,0.0,forest_area
Oceania,SLB,Solomon Islands,1990,2539.71,forest_area
Africa,SLE,Sierra Leone,1990,3126.7,forest_area
North and Central America,SLV,El Salvador,1990,735.51,forest_area
Europe,SMR,San Marino,1990,1.0,forest_area
Africa,SOM,Somalia,1990,8283.5,forest_area
North and Central America,SPM,Saint Pierre and Miquelon,1990,1.9,forest_area
Europe,SRB,Serbia,1990,2313.0,forest_area
Africa,SSD,South Sudan,1990,7104.2,forest_area
Africa,STP,Sao Tome and Principe,1990,59.07,forest_area
South America,SUR,Suriname,1990,14866.25,forest_area
Europe,SVK,Slovakia,1990,1902.48,forest_area
Europe,SVN,Slovenia,1990,1188.0,forest_area
Europe,SWE,Sweden,1990,28063.0,forest_area
Africa,SWZ,Eswatini,1990,485.57,forest_area
North and Central America,SXM,Sint Maarten (Dutch part),1990,0.3,forest_area
